typical headnoun,proper noun,english
ma tomo,Jelusalen,Jerusalem
nena,Sijon,Zion
ma,Isale,Israel
telo tawa,Jaten,Jordan
ma,Kusi,Kush
ma,Misalin,Egypt
ma,Kanan,Canaan
ma,Mopa,Moab
ma,Emowa,Gomorrah
ma,Seton,Sodom
ma,Kapanamu,Capernoum
ma,Juta,Judea
ma tomo,Ninawe,Nineveh
ma,Tasisa,Tarshish
ma,Japo,Joppa
ma,Sejo,Sheol
ma,Usu,Uz
ma,Pete,Bethel
ma,Eten,Eden
nasin telo,Pison,Pishon
ma,Awila,Havilah
ma,En Kesi,Ain Gedi
ma,Lepanon,Lebanon
ma,Kileta,Gilead
ma,Seni,Senir
ma,Amana,Abanah
ma,Kelemon,Hermon
